app_id,franchise_name,steamdb_score,pub_link,dev_link
461950,2/name 11 bit studios,80.09%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=11+bit+studios,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Pixel+Crow
494720,NA,85.15%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Suspicious+Developments,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Suspicious+Developments
658570,NA,78.95%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Drift+Physics+Crew,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Drift+Physics+Crew
756880,2/name CUTE ANIME GIRLS,63.44%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Tranquility+games,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=CUTE+ANIME+GIRLS
560300,NA,82.80%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=GamePhase,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=GamePhase
658660,NA,53.53%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Dev+Arc,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Dev+Arc
625910,NA,72.47%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=10tons+Ltd,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=10tons+Ltd
691450,3/name PLAYISM,91.60%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=PLAYISM,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=sen
396560,NA,63.46%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Vive+Studios,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Fantahorn+Studio
625940,NA,67.25%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=HA+Studio+Ltd.,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=HA+Studio+Ltd.
429360,NA,83.94%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Craftven,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Craftven
